epoch,train_loss,train_acc,val_loss,val_acc
1,1.549480,0.428711,1.215629,0.569000
2,1.159698,0.584844,0.987568,0.645000
3,0.969999,0.655622,0.875493,0.699800
4,0.853684,0.702200,0.796007,0.718200
5,0.761860,0.732511,0.753485,0.740200
6,0.687194,0.757689,0.702715,0.750400
7,0.621255,0.783711,0.694865,0.753800
8,0.564497,0.801489,0.680491,0.765200
9,0.511576,0.818044,0.676817,0.769600
10,0.469713,0.834689,0.673671,0.771000
11,0.428882,0.846556,0.737898,0.761600
12,0.394605,0.857533,0.711357,0.777400
13,0.354851,0.874000,0.722670,0.782200
14,0.329885,0.879022,0.761247,0.776400
15,0.300558,0.890400,0.809297,0.770600
16,0.280538,0.898156,0.815240,0.772200
17,0.263712,0.904467,0.809354,0.777600
18,0.245869,0.910156,0.847509,0.774200
19,0.232054,0.915222,0.859676,0.777000
20,0.222365,0.918178,0.897441,0.774600
21,0.203857,0.925378,0.913491,0.771800
22,0.191153,0.930356,0.968057,0.780000
23,0.186803,0.931578,1.010914,0.776600
24,0.180709,0.935600,1.084691,0.770200
25,0.174106,0.935756,1.020705,0.775600
26,0.170435,0.938578,1.068527,0.770800
27,0.157231,0.942111,1.101397,0.771400
28,0.159793,0.942356,1.098778,0.769800
29,0.148971,0.946000,1.148819,0.764200
30,0.155684,0.945244,1.182794,0.767200
