epoch,train_loss,train_acc,val_loss,val_acc
1,1.672830,0.379867,1.394106,0.495800
2,1.338430,0.515533,1.206539,0.555600
3,1.160283,0.584156,1.040216,0.623600
4,1.049465,0.627600,0.948670,0.662400
5,0.981212,0.656600,0.895542,0.681000
6,0.915905,0.680489,0.843053,0.700000
7,0.872601,0.697178,0.773153,0.725800
8,0.828361,0.713333,0.799215,0.716800
9,0.800298,0.721400,0.770719,0.720600
10,0.768595,0.734022,0.714892,0.747800
11,0.749173,0.740956,0.714870,0.741200
12,0.737670,0.745822,0.695585,0.754000
13,0.715923,0.751578,0.688904,0.751600
14,0.691201,0.760556,0.653626,0.772200
15,0.679174,0.765956,0.670025,0.763600
16,0.668998,0.770178,0.664123,0.761400
17,0.656939,0.773756,0.659451,0.768800
18,0.648798,0.777911,0.682596,0.763800
19,0.630153,0.784044,0.622464,0.784800
20,0.618619,0.787022,0.637614,0.779000
21,0.616392,0.788511,0.635607,0.780600
22,0.599176,0.793400,0.628634,0.782800
23,0.597314,0.795022,0.615746,0.781400
24,0.591846,0.796133,0.638094,0.777400
25,0.584792,0.800978,0.590937,0.795200
26,0.583863,0.800289,0.592707,0.795600
27,0.562011,0.803556,0.612888,0.794200
28,0.563410,0.808111,0.592782,0.799600
29,0.556901,0.807978,0.571560,0.804400
30,0.547648,0.813111,0.568669,0.800200
